Skill,Question,Answer
Python,What is Python?,Python is a high-level interpreted programming language.
Python,What is a list?,A list is an ordered mutable collection in Python.
Python,What is a tuple?,A tuple is an ordered immutable collection in Python.
Python,What is a dictionary?,A dictionary stores data in key-value pairs.
Python,What is a decorator?,A decorator modifies the behavior of a function without changing its code.
Python,What is a generator?,A generator produces values lazily using the yield keyword.
Python,What is exception handling?,Exception handling manages runtime errors using try-except blocks.
Python,What is OOP?,Object-Oriented Programming organizes code using classes and objects.
Python,What is inheritance?,Inheritance allows one class to acquire properties of another class.
Python,What is polymorphism?,Polymorphism allows methods to behave differently based on objects.
Java,What is JVM?,JVM executes Java bytecode.
Java,What is JDK?,JDK contains tools required to develop Java applications.
Java,What is JRE?,JRE provides libraries and JVM to run Java applications.
Java,What is inheritance in Java?,Inheritance allows a class to inherit properties from another class.
Java,What is encapsulation?,Encapsulation hides data using private members.
SQL,What is SQL?,SQL is used to manage relational databases.
SQL,What is a primary key?,A primary key uniquely identifies a record.
SQL,What is a foreign key?,A foreign key links two tables.
SQL,What is normalization?,Normalization reduces redundancy in databases.
SQL,What is a JOIN?,A JOIN combines data from multiple tables.
HTML,What is HTML?,HTML is used to structure web pages.
HTML,What are semantic tags?,Semantic tags describe the meaning of content.
HTML,What is a form?,A form collects user input.
CSS,What is CSS?,CSS styles HTML elements.
CSS,What is Flexbox?,Flexbox is a layout model for arranging items.
CSS,What is CSS Grid?,Grid is a two-dimensional layout system.
JavaScript,What is JavaScript?,JavaScript adds interactivity to web pages.
JavaScript,What is hoisting?,Hoisting moves declarations to the top during execution.
JavaScript,What is a closure?,A closure remembers variables from its outer scope.
JavaScript,What is event bubbling?,Events propagate from child to parent elements.
React,What is React?,React is a JavaScript library for building user interfaces.
React,What is Virtual DOM?,Virtual DOM is a lightweight copy of the real DOM.
React,What is useState?,useState is a React hook for state management.
React,What is useEffect?,useEffect performs side effects in React.
NodeJS,What is Node.js?,Node.js runs JavaScript outside the browser.
NodeJS,What is Express.js?,Express is a Node.js web framework.
NodeJS,What is middleware?,Middleware processes requests before responses.
MongoDB,What is MongoDB?,MongoDB is a NoSQL database.
MongoDB,What is a collection?,A collection stores documents in MongoDB.
MongoDB,What is aggregation?,Aggregation processes data records and returns results.
Machine Learning,What is Machine Learning?,Machine Learning enables systems to learn from data.
Machine Learning,What is supervised learning?,Supervised learning uses labeled data.
Machine Learning,What is unsupervised learning?,Unsupervised learning uses unlabeled data.
Machine Learning,What is overfitting?,Overfitting occurs when a model learns noise.
Machine Learning,What is underfitting?,Underfitting occurs when a model fails to learn patterns.
Data Structures,What is a stack?,A stack follows LIFO order.
Data Structures,What is a queue?,A queue follows FIFO order.
Data Structures,What is a linked list?,A linked list stores nodes connected by pointers.
Algorithms,What is Big O notation?,Big O measures algorithm efficiency.
Algorithms,What is binary search?,Binary search finds an element in a sorted array.
Algorithms,What is DFS?,DFS explores a graph depth-wise.
Algorithms,What is BFS?,BFS explores a graph level by level.
