Skill,Course,Level
Python,Python for Beginners,Beginner
Python,Advanced Python Programming,Advanced
Python,Python for Data Science,Intermediate
Java,Java Fundamentals,Beginner
Java,Advanced Java,Advanced
Java,Spring Boot Development,Intermediate
C,C Programming Basics,Beginner
C,Data Structures in C,Intermediate
C++,C++ Fundamentals,Beginner
C++,Object Oriented Programming in C++,Intermediate
JavaScript,JavaScript Essentials,Beginner
JavaScript,Modern JavaScript ES6+,Intermediate
HTML,HTML5 Complete Course,Beginner
CSS,CSS3 Complete Course,Beginner
CSS,Responsive Web Design,Intermediate
React,React Complete Guide,Intermediate
React,Advanced React Development,Advanced
NodeJS,Node.js Complete Course,Intermediate
NodeJS,REST API Development with Node.js,Advanced
ExpressJS,Express.js Fundamentals,Intermediate
MongoDB,MongoDB Fundamentals,Beginner
MongoDB,MongoDB for Developers,Intermediate
SQL,SQL Bootcamp,Beginner
SQL,Advanced SQL Queries,Advanced
MySQL,MySQL Database Development,Intermediate
PostgreSQL,PostgreSQL Complete Course,Intermediate
Data Science,Introduction to Data Science,Beginner
Data Science,Applied Data Science,Advanced
Machine Learning,Machine Learning A-Z,Intermediate
Machine Learning,Advanced Machine Learning,Advanced
Deep Learning,Deep Learning Fundamentals,Intermediate
Deep Learning,Neural Networks and TensorFlow,Advanced
TensorFlow,TensorFlow for Beginners,Intermediate
PyTorch,PyTorch Deep Learning,Intermediate
NLP,Natural Language Processing Basics,Intermediate
Computer Vision,Computer Vision with OpenCV,Intermediate
Power BI,Power BI Dashboard Development,Beginner
Tableau,Tableau Data Visualization,Beginner
Excel,Advanced Excel for Data Analysis,Intermediate
AWS,AWS Cloud Practitioner,Beginner
AWS,AWS Solutions Architect,Advanced
Azure,Microsoft Azure Fundamentals,Beginner
Azure,Azure Administrator Associate,Advanced
Google Cloud,Google Cloud Fundamentals,Beginner
DevOps,DevOps Essentials,Beginner
Docker,Docker for Developers,Intermediate
Kubernetes,Kubernetes Administration,Advanced
Linux,Linux Fundamentals,Beginner
Linux,Linux System Administration,Advanced
Git,Git and GitHub Complete Guide,Beginner
GitHub,GitHub for Collaboration,Beginner
Cyber Security,Cyber Security Fundamentals,Beginner
Cyber Security,Ethical Hacking and Penetration Testing,Advanced
Networking,Computer Networking Basics,Beginner
Networking,CCNA Preparation Course,Advanced
Android Development,Android App Development with Kotlin,Intermediate
Flutter,Flutter App Development,Intermediate
Django,Django Web Development,Intermediate
Flask,Flask Web Development,Intermediate
Software Testing,Manual Testing Fundamentals,Beginner
Software Testing,Selenium Automation Testing,Intermediate
